店舗名,住所,緯度,経度,店舗ID,種別,電話番号,店舗規模
BOOKOFF SUPER BAZAAR 鎌倉大船店,神奈川県鎌倉市大船6-1-1,35.3550606,139.530374,20421,FC,0467-41-1213,大
BOOKOFF SUPER BAZAAR 綱島樽町店,神奈川県横浜市港北区樽町3-12-25,35.5297372,139.6431684,SB027,直営,045-541-9571,大
BOOKOFF SUPER BAZAAR 国道1号多摩川大橋店,神奈川県川崎市幸区小向町5-1,35.5489405,139.6931173,SB004,直営,044-520-3365,大
BOOKOFF SUPER BAZAAR 西友大森店,東京都品川区南大井6-27-25,35.588471,139.7302897,20508,FC,03-5753-4472,大
BOOKOFF SUPER BAZAAR 立川駅北口店,東京都立川市曙町2-7-17,35.7000117,139.4137989,20465,FC,042-540-5800,大
BOOKOFF イオン橋本店,神奈川県相模原市緑区橋本6-2-1,35.5971874,139.338932,,新店/未登録,,
BOOKOFF イオン本牧店,神奈川県横浜市中区本牧原7-1,35.4446947,139.6421013,,新店/未登録,,
BOOKOFF イトーヨーカドー溝ノ口店,神奈川県川崎市高津区久本3丁目6-20,35.595994,139.617343,,新店/未登録,,
BOOKOFF ロッテシティ錦糸町店,東京都墨田区錦糸4-6-1,35.6978654,139.8139858,20426,FC,03-5619-8020,中
BOOKOFF 綾瀬駅前店,東京都足立区綾瀬3-2-8,35.7621283,139.8248669,10633,直営,03-5673-5858,中
BOOKOFF 曳舟店,東京都墨田区東向島2-48-13,35.7242844,139.8192895,20517,FC,03-5630-6471,小
BOOKOFF 横須賀佐原店,神奈川県横須賀市粟田2-1-3,35.2245435,139.6842715,10844,直営,046-845-6606,中型店舗
BOOKOFF 横須賀中央店,神奈川県横須賀市大滝町2-25,35.2810651,139.6690162,10771,直営,046-828-3730,中
BOOKOFF 横須賀堀ノ内店,神奈川県横須賀市三春町3-13-7,35.2708401,139.6751395,10613,直営,046-820-2872,中
BOOKOFF 横浜あざみ野店,神奈川県横浜市青葉区あざみ野1-4-3,35.5783416,139.5377851,20079,FC,045-909-4688,中
BOOKOFF 横浜ビブレ店,神奈川県横浜市西区南幸2-15-13 8F,35.4650943,139.6192504,20434,FC,045-412-6010,大
BOOKOFF 横浜鴨居店,神奈川県横浜市緑区東本郷6-1-26,35.513959,139.576676,20241,FC,045-470-6505,小
BOOKOFF 横浜港南丸山台店,神奈川県横浜市港南区丸山台4-3-1,35.4018679,139.571463,10413,直営,045-843-4251,中
BOOKOFF 横浜中山店,神奈川県横浜市緑区台村町370-1,35.5098859,139.5297427,,新店/未登録,,
BOOKOFF 横浜朝比奈店,神奈川県横浜市金沢区東朝比奈3-24,35.3175485,139.6040187,10617,直営,045-780-1576,小
BOOKOFF 横浜鶴ヶ峰店,神奈川県横浜市旭区鶴ケ峰本町1-27-13,35.4767171,139.5442284,10612,直営,045-958-0453,中
BOOKOFF 横浜東戸塚店,神奈川県横浜市戸塚区品濃町548-12,35.4307728,139.5571955,20146,FC,045-828-7021,中
BOOKOFF 海老名さがみ野駅前店,神奈川県海老名市東柏ケ谷2-25-25,35.470926,139.4304862,20203,FC,046-236-5122,中
BOOKOFF 葛西駅前店,東京都江戸川区中葛西5-34-11,35.6638877,139.8687474,20172,FC,03-5667-8263,中
BOOKOFF 鎌倉手広店,神奈川県鎌倉市手広6-2-14,35.3236523,139.5089544,10731,直営,0467-38-1870,中
BOOKOFF 茅ヶ崎駅北口店,神奈川県茅ヶ崎市新栄町2-8,35.3307358,139.4042476,20205,FC,0467-84-5386,中
BOOKOFF 寒川大曲店,神奈川県高座郡寒川町大曲3-11-5,35.3574633,139.3936535,20418,FC,0467-72-5250,小
BOOKOFF 亀戸駅東口店,東京都江東区亀戸6-57-19,35.6976987,139.827138,10687,直営,03-5858-2902,小
BOOKOFF 吉祥寺駅北口店,東京都武蔵野市吉祥寺本町1-13-2,35.7043267,139.5775409,20454,FC,0422-23-8260,大
BOOKOFF 京王国領駅前店,東京都調布市国領町1-44-1,35.636327,139.556512,10466,直営,042-443-0707,小
BOOKOFF 厚木戸室店,神奈川県厚木市戸室1-28-17,35.4501971,139.3464115,20323,FC,046-294-0313,小
BOOKOFF 厚木妻田店,神奈川県厚木市妻田北1-12-21,35.4655366,139.3574043,10063,直営,046-223-1255,小
BOOKOFF 向ヶ丘遊園駅前店,神奈川県川崎市多摩区登戸2102-1,35.6209112,139.5700615,20419,FC,044-932-7600,小
BOOKOFF 江古田店,東京都練馬区栄町2-12,35.7385391,139.669504,10115,直営,03-5999-6456,小
BOOKOFF 江戸川東小岩店,東京都江戸川区東小岩4-1-7,35.7266033,139.8929123,10646,直営,03-5622-0411,中
BOOKOFF 江東門前仲町店,東京都江東区越中島1-2-7,35.6679059,139.7926094,10486,直営,03-5602-9945,中
BOOKOFF 港北綱島西店,神奈川県横浜市港北区綱島西2-12-8,35.4957774,139.6180408,20313,FC,045-540-3901,中
BOOKOFF 高田馬場北店,東京都豊島区高田3-14-29,35.7157717,139.712324,10334,直営,03-5950-2225,中
BOOKOFF 座間ノジマ店,神奈川県座間市小松原1-43-23,35.4970265,139.4300753,20375,FC,046-298-2581,中
BOOKOFF 座間警察署前店,神奈川県座間市入谷西2丁目60-11,35.4856846,139.3955458,20298,FC,046-257-9811,中
BOOKOFF 自由が丘駅前店,東京都目黒区自由が丘2-11-23,35.6114502,139.6675812,20289,FC,03-5731-6931,中
BOOKOFF 秋葉原駅前店,東京都千代田区神田佐久間町1-6-4,35.697996,139.7769499,20396,FC,03-5207-6206,大
BOOKOFF 十条駅前店,東京都北区上十条2-7-11,35.7629881,139.7180209,10576,直営,03-5963-3571,小
BOOKOFF 上野毛店,東京都世田谷区中町3-16-3,35.6164135,139.6442497,20233,FC,03-5758-7886,小
BOOKOFF 新宿靖国通り店,東京都新宿区新宿5-2-1,35.6957205,139.6873953,20199,FC,03-5368-0654,小
BOOKOFF 新百合丘オーパ店,神奈川県川崎市麻生区上麻生1-1-1,35.6037115,139.5082936,20432,FC,044-959-5480,中
BOOKOFF 秦野渋沢店,神奈川県秦野市平沢363-3,35.368162,139.205233,10265,直営,0463-83-5100,中
BOOKOFF 逗子久木店,神奈川県逗子市久木4-13-25,35.309372,139.582234,10807,直営,046-874-0400,中
BOOKOFF 瑞江駅北口店,東京都江戸川区瑞江2-5-3,35.6932795,139.8976092,10837,直営,03-5636-5731,中
BOOKOFF 杉並方南町駅前店,東京都杉並区堀ノ内1-4-2,35.6865625,139.650863,10369,直営,03-5305-5543,中
BOOKOFF 西台高島通り店,東京都板橋区高島平1-75-10,35.7854321,139.6668057,20178,FC,03-5921-3220,中
BOOKOFF 青梅店,東京都青梅市新町4-19-5,35.7871101,139.3078161,20013,FC,0428-32-1255,中
BOOKOFF 赤羽駅東口店,東京都北区赤羽2-49-6,35.7781394,139.7207999,10406,直営,03-3903-2662,小
BOOKOFF 雪が谷大塚店,東京都大田区南雪谷2-17-9,35.5916071,139.6842421,20354,FC,03-5754-2481,小
BOOKOFF 千駄木店,東京都文京区千駄木3-43-3,35.7255677,139.7632458,10629,直営,03-5834-1567,小
BOOKOFF 川崎長沢店,神奈川県川崎市多摩区長沢4-29-5,35.6018743,139.5519428,10411,直営,044-978-3151,中
BOOKOFF 川崎東有馬店,神奈川県川崎市宮前区東有馬3-23-15,35.5728048,139.5915848,20134,FC,044-860-5752,中
BOOKOFF 浅草稲荷町店,東京都台東区松が谷1-3-5,35.7152237,139.7868927,20261,FC,03-5830-1383,小
BOOKOFF 相模大野店,神奈川県相模原市南区相模大野5-30-7,35.5305,139.4368,10540,直営,042-749-5510,中
BOOKOFF 足立加平インター店,東京都足立区加平2-3,35.7783718,139.8273956,20276,FC,03-5849-8621,中
BOOKOFF 大泉学園駅前店,東京都練馬区東大泉1-26-15,35.7495045,139.5865223,10272,直営,03-5947-7260,小
BOOKOFF 大塚駅前店,東京都豊島区南大塚1-51-11,35.7293181,139.72957,20058,FC,03-5976-5211,小
BOOKOFF 大和つきみ野店,神奈川県大和市つきみ野4-12-3,35.5103897,139.4582718,20128,FC,046-271-0206,中
BOOKOFF 大和西鶴間店,神奈川県大和市西鶴間1-17-2,35.4879281,139.4485013,20179,FC,046-271-2484,中
BOOKOFF 池袋サンシャイン60通り店,東京都豊島区東池袋1-22-10,35.7297337,139.7157943,20422,FC,03-5953-2325,大
BOOKOFF 中葛西店,東京都江戸川区中葛西4-4-8,35.6638877,139.8687474,10573,直営,03-5878-3751,中
BOOKOFF 中原街道長原店,東京都大田区上池台1-14-19,35.5964965,139.6974208,10693,直営,03-5754-2551,小
BOOKOFF 中板橋駅北口店,東京都板橋区中板橋24-1,35.7564812,139.694208,10725,直営,03-5943-9505,小
BOOKOFF 調布駅南口店,東京都調布市布田4-20-2,35.6498925,139.5518222,20344,FC,042-490-7113,中
BOOKOFF 鶴見駅西口店,神奈川県横浜市鶴見区豊岡町15-29,35.5091462,139.6741361,20450,FC,045-580-0331,中
BOOKOFF 東中野店,東京都中野区東中野3-9-21,35.707741,139.683099,10249,直営,03-3362-9989,小
BOOKOFF 藤沢用田店,神奈川県藤沢市用田491-1,35.3893,139.431,20105,FC,0466-49-1015,中
BOOKOFF 藤沢六会店,神奈川県藤沢市亀井野2-25-11,35.378374,139.475149,10481,直営,0466-82-5150,中
BOOKOFF 買取センター フレスポ八王子みなみ野店,東京都八王子市みなみ野1丁目7-3,35.632249,139.3280719,,新店/未登録,,
BOOKOFF 幡ヶ谷6号通店,東京都渋谷区幡ケ谷2-9-19,35.677903,139.6740463,10526,直営,03-5333-7688,小
BOOKOFF 八王子駅北口店,東京都八王子市旭町12-4,35.6559238,139.338163,20130,FC,042-631-0756,中
BOOKOFF 八王子大和田店,東京都八王子市大和田町5-9-7,35.6660955,139.3453237,10606,直営,042-646-2902,大
BOOKOFF 八王子堀之内店,東京都八王子市堀之内3-3-1,35.634728,139.390403,20052,FC,042-679-0221,中
BOOKOFF 板橋前野店,東京都板橋区前野町4-19-1,35.7687915,139.6902076,20400,FC,03-5914-6411,小
BOOKOFF 浜田山駅前店,東京都杉並区浜田山3-34-5,35.6816467,139.6274677,20164,FC,03-5357-0760,小
BOOKOFF 武蔵境連雀通り店,東京都武蔵野市境南町5-5-16,35.6989464,139.5411554,20263,FC,0422-30-7588,中
BOOKOFF 武蔵小山パルム店,東京都品川区荏原3-3-17,35.6154997,139.7060301,20317,FC,03-5751-5700,小
BOOKOFF 武蔵新城店,神奈川県川崎市中原区新城1-14-1,35.587962,139.627724,20160,FC,044-741-3258,小
BOOKOFF 武蔵中原店,神奈川県川崎市中原区上小田中6-12-1,35.5864654,139.6369375,10284,直営,044-739-0168,小
BOOKOFF 平塚駅西口店,神奈川県平塚市紅谷町16-4,35.328437,139.347785,10392,直営,0120-03-2902,中
BOOKOFF 平塚四之宮店,神奈川県平塚市四之宮3-9-1,35.360093,139.367607,20016,FC,0463-22-7510,中
BOOKOFF 北烏山店,東京都世田谷区北烏山5-21-11,35.676579,139.5976078,10238,直営,03-3305-2239,中
BOOKOFF 練馬光が丘店,東京都練馬区高松4-22-6,35.7504853,"139.6298966
",20190,FC,03-5971-3315,中
